Soil Moisture,Temperature, Soil Humidity,Time
22,41,56,59
51,32,37,1
6,28,58,33
33,24,36,75
28,25,48,13
23,35,54,9
28,15,40,41
83,16,27,96
21,27,53,92
29,40,25,96
61,16,47,101
46,7,59,20
71,43,25,108
40,31,24,83
75,41,52,42
34,33,67,18
87,1,52,32
38,41,54,50
33,8,64,40
10,19,55,52
41,23,54,4
12,45,28,50
89,23,22,19
4,1,51,72
38,0,61,54
90,4,63,52
54,44,61,78
51,43,67,1
9,29,31,11
87,27,60,86
5,43,44,77
65,19,42,31
54,41,40,67
72,19,62,73
7,23,68,102
25,24,69,67
3,10,70,86
20,24,56,25
86,30,56,13
25,20,66,29
32,32,66,63
29,33,49,66
51,30,35,48
7,14,26,70
35,6,43,39
30,30,30,23
50,39,61,21
59,18,48,53
64,11,40,99
3,5,52,82
13,17,23,40
35,42,43,6
72,2,31,103
20,27,42,50
90,28,28,106
74,41,40,28
62,24,47,34
88,4,62,29
46,38,27,51
39,9,57,93
50,22,59,66
49,28,46,100
70,22,62,94
50,19,64,103
72,42,28,95
15,23,56,18
52,17,22,90
10,34,54,110
80,8,70,73
27,17,46,28
90,29,53,61
41,21,23,45
74,31,49,18
19,18,54,80
58,16,24,81
32,40,61,102
9,8,69,28
80,10,51,37
34,30,22,43
3,28,36,35
30,26,39,12
26,41,27,30
53,38,53,106
52,37,35,37
73,33,40,25
36,29,29,71
39,31,20,15
71,19,32,25
86,41,23,57
85,35,27,3
65,20,38,85
82,7,30,106
72,38,52,56
38,20,61,34
36,30,51,68
12,34,34,108
65,3,60,19
78,11,26,22
11,18,45,29
38,31,49,107
61,25,29,6
81,25,55,65
73,40,70,53
2,40,29,31
20,40,27,47
63,0,57,9
78,10,21,105
39,18,24,81
89,41,48,9
41,11,39,2
62,9,47,83
14,35,48,56
23,27,45,64
24,30,70,67
35,43,49,109
63,16,22,109
44,40,46,41
52,39,60,63
84,11,65,35
1,41,27,61
14,2,51,89
6,20,54,42
13,16,48,83
50,19,56,48
25,24,22,76
9,34,26,71
79,6,51,80
13,22,32,86
18,6,38,26
38,22,57,47
51,3,23,51
49,28,20,1
51,20,29,61
15,15,50,29
54,32,48,44
57,3,54,47
47,41,41,53
37,19,39,49
88,5,68,15
47,36,68,4
55,8,53,73
7,41,38,75
33,5,50,58
22,17,42,94
78,33,26,57
17,33,50,94
4,37,43,20
69,27,59,12
37,0,37,17
33,28,34,38
56,27,63,78
27,5,47,87
7,38,42,13
59,33,52,47
47,37,62,78
35,15,53,35
20,20,36,91
72,22,27,30
60,9,43,97
2,21,32,67
15,22,22,86
64,43,45,73
90,14,33,49
43,25,24,95
21,42,44,56
64,3,31,92
34,18,30,6
8,44,20,40
21,41,51,10
36,0,42,35
1,42,62,63
71,14,41,25
82,30,57,96
28,24,48,53
15,44,31,70
47,37,65,78
44,11,34,97
28,21,37,33
27,28,24,77
57,13,61,13
85,5,62,62
33,9,28,15
72,29,25,1
17,24,58,70
48,33,25,42
55,21,57,41
51,35,23,65
57,8,59,53
75,45,27,65
53,6,27,75
71,30,37,110
89,37,46,101
17,14,57,49
23,21,21,74
39,32,51,59
11,39,67,86
61,0,40,35
9,5,43,54
40,39,58,63
88,37,60,90
54,24,28,38
48,20,49,54
73,41,60,110
89,4,21,26
65,18,34,10
27,2,34,47
35,43,67,21
29,15,62,85
1,12,54,47
77,0,51,55
40,38,54,85
40,0,61,14
28,0,42,6
64,12,29,92
12,27,40,4
56,20,68,44
22,7,66,33
81,15,22,40
70,6,30,53
81,5,56,26
4,0,41,20
40,37,62,36
79,14,42,47
30,20,39,63
82,37,25,7
45,20,62,13
82,43,34,4
85,15,32,11
54,42,53,26
73,4,51,98
14,8,52,47
26,44,66,24
88,2,45,76
88,11,40,80
40,21,29,100
30,22,68,7
66,34,20,34
90,5,63,64
76,33,25,52
42,32,44,73
75,2,45,105
7,19,43,100
8,5,45,2
43,29,56,98
88,26,39,13
62,24,44,24
9,45,57,71
5,14,21,86
28,24,22,110
43,31,25,82
73,34,53,58
17,40,66,49
64,30,53,97
60,24,53,107
15,36,41,69
11,32,44,46
31,29,62,62
88,29,33,9
19,22,38,53
36,2,54,104
87,2,27,89
3,41,23,27
75,2,49,29
51,13,53,82
84,31,51,24
82,14,28,77
61,31,52,65
28,44,67,109
41,16,45,84
41,9,58,94
77,16,64,92
26,31,25,29
5,29,36,109
74,8,65,8
39,40,44,9
25,25,53,25
41,7,47,1
68,13,54,82
57,34,64,70
7,32,45,97
68,31,62,69
27,13,61,88
10,22,35,39
65,26,26,4
86,40,60,11
52,7,46,37
47,16,59,98
31,42,58,86
44,41,23,61
61,17,30,15
44,19,70,84
13,39,44,66
88,3,21,54
19,31,52,47
54,18,67,109
78,0,37,57
36,34,27,69
57,40,33,23
5,25,51,25
37,34,39,94
53,29,36,33
74,10,52,99
80,18,22,56
72,10,50,58
48,43,36,50
59,34,22,59
10,15,20,5
28,39,56,24
39,27,43,73
13,33,60,91
25,5,29,93
69,24,26,36
37,20,57,61
21,40,69,7
4,21,28,63
68,24,42,79
12,6,60,99
90,17,49,24
90,21,55,102
38,1,61,41
13,2,68,85
81,18,49,16
89,36,40,6
73,28,68,46
15,9,35,29
40,5,36,47
53,5,37,34
42,1,39,38
26,1,54,2
32,27,70,50
19,22,66,37
6,26,45,34
10,34,33,58
31,44,60,37
49,40,53,46
63,18,47,85
9,29,34,97
59,30,66,42
54,43,57,83
29,30,31,74
11,33,26,21
84,34,55,22
12,22,64,72
27,1,52,92
21,22,70,28
83,26,64,22
15,36,39,33
9,36,34,100
76,34,64,98
74,29,49,21
19,22,39,97
26,44,24,25
35,4,57,57
32,35,40,110
20,33,35,26
52,10,47,29
25,40,44,99
9,33,37,88
84,23,69,108
88,24,51,110
63,45,49,46
55,11,48,76
59,35,37,85
62,28,39,9
20,28,36,9
19,11,42,47
56,25,55,76
28,4,48,50
90,7,57,86
77,11,69,48
12,17,32,97
12,36,68,5
53,27,41,103
80,10,43,33
25,17,60,35
17,32,56,80
27,17,61,92
55,3,22,83
60,31,28,56
5,12,56,50
69,11,67,31
65,28,36,19
70,6,20,110
86,45,37,93
2,30,66,85
86,12,27,24
33,32,22,78
40,43,68,20
46,30,65,46
3,13,36,71
35,31,34,48
31,12,65,81
73,18,23,93
69,24,36,46
7,39,66,44
65,21,69,23
83,7,65,36
21,41,47,97
45,5,29,39
77,40,31,66
46,13,29,42
4,28,27,12
41,44,22,3
85,41,24,106
79,22,55,10
13,13,20,74
62,35,25,47
23,41,36,81
87,33,29,13
21,4,48,39
70,6,64,66
53,7,30,25
2,5,58,63
10,29,24,22
78,29,51,88
88,25,41,100
62,25,42,42
87,15,22,36
37,22,60,104
52,34,21,30
47,45,49,81
23,12,61,51
70,5,58,103
28,9,70,66
74,40,64,40
40,45,23,47
42,23,35,23
3,38,62,12
9,17,50,4
33,42,70,22
13,8,39,47
58,35,56,101
66,31,41,32
62,43,58,50
65,5,46,93
73,4,45,47
80,19,62,73
7,0,57,55
2,34,55,60
36,1,46,108
44,4,32,20
37,10,64,97
31,41,39,4
35,31,66,97
64,22,28,30
64,16,20,87
23,42,69,29
46,16,29,44
15,7,69,37
11,15,43,8
80,37,39,78
5,44,42,64
54,30,44,40
28,36,60,14
48,26,46,45
81,14,42,0
47,39,26,99
46,24,58,102
12,27,55,63
45,9,50,104
54,37,44,42
28,30,43,85
11,28,43,85
34,4,52,10
68,22,61,7
16,20,62,43
49,17,35,9
19,4,35,90
67,34,59,21
85,32,64,75
54,35,40,27
36,43,61,68
90,35,44,31
29,9,48,101
10,17,42,0
13,1,70,103
31,26,55,65
29,40,58,4
11,13,46,16
66,17,54,33
63,38,58,61
67,44,49,85
11,30,34,11
52,38,42,45
22,39,25,65
70,19,64,10
78,7,41,51
20,26,69,69
77,1,39,91
12,21,25,105
49,15,21,71
65,21,36,57
5,13,25,50
3,23,49,42
79,29,40,89
30,26,57,76
35,16,56,26
27,7,55,106
75,31,55,40
62,19,34,106
24,11,37,17
72,44,23,73
48,13,56,29
59,4,51,2
46,6,41,83
76,11,68,10
54,14,66,51
76,23,43,0
22,21,47,86
29,29,46,74
73,17,36,42
40,18,68,70
17,5,50,78
24,3,56,100
78,16,46,73
49,39,64,50
42,3,21,48
85,25,47,14
69,27,53,75
56,17,68,59
28,30,30,50
78,12,59,20
28,32,45,76
74,41,42,5
73,0,67,32
12,1,29,68
29,25,42,36
10,26,31,20
54,26,70,72
75,29,54,17
43,9,70,91
3,26,59,104
63,45,42,41
4,5,48,4
26,12,46,41
42,20,38,93
76,37,61,65
67,39,41,4
80,3,27,79
3,34,70,96
24,18,68,85
