Soil Moisture,Temperature, Soil Humidity,Time,Status
22,41,56,59,ON
51,32,37,1,ON
6,28,58,33,ON
33,24,36,75,ON
28,25,48,13,OFF
23,35,54,9,ON
28,15,40,41,ON
83,16,27,96,OFF
21,27,53,92,OFF
29,40,25,96,OFF
61,16,47,101,OFF
46,7,59,20,ON
71,43,25,108,OFF
40,31,24,83,ON
75,41,52,42,ON
34,33,67,18,ON
87,1,52,32,OFF
38,41,54,50,ON
33,8,64,40,ON
10,19,55,52,ON
41,23,54,4,ON
12,45,28,50,ON
89,23,22,19,OFF
4,1,51,72,ON
38,0,61,54,OFF
90,4,63,52,OFF
54,44,61,78,ON
51,43,67,1,ON
9,29,31,11,ON
87,27,60,86,OFF
5,43,44,77,ON
65,19,42,31,OFF
54,41,40,67,ON
72,19,62,73,OFF
7,23,68,102,OFF
25,24,69,67,ON
3,10,70,86,ON
20,24,56,25,OFF
86,30,56,13,OFF
25,20,66,29,ON
32,32,66,63,ON
29,33,49,66,ON
51,30,35,48,ON
7,14,26,70,ON
35,6,43,39,ON
30,30,30,23,ON
50,39,61,21,ON
59,18,48,53,ON
64,11,40,99,OFF
3,5,52,82,ON
13,17,23,40,ON
35,42,43,6,ON
72,2,31,103,OFF
20,27,42,50,ON
90,28,28,106,OFF
74,41,40,28,OFF
62,24,47,34,OFF
88,4,62,29,OFF
46,38,27,51,ON
39,9,57,93,OFF
50,22,59,66,OFF
49,28,46,100,OFF
70,22,62,94,OFF
50,19,64,103,OFF
72,42,28,95,OFF
15,23,56,18,ON
52,17,22,90,OFF
10,34,54,110,OFF
80,8,70,73,ON
27,17,46,28,OFF
90,29,53,61,ON
41,21,23,45,OFF
74,31,49,18,OFF
19,18,54,80,ON
58,16,24,81,OFF
32,40,61,102,OFF
9,8,69,28,ON
80,10,51,37,OFF
34,30,22,43,ON
3,28,36,35,ON
30,26,39,12,ON
26,41,27,30,ON
53,38,53,106,OFF
52,37,35,37,ON
73,33,40,25,OFF
36,29,29,71,ON
39,31,20,15,ON
71,19,32,25,OFF
86,41,23,57,ON
85,35,27,3,OFF
65,20,38,85,ON
82,7,30,106,OFF
72,38,52,56,ON
38,20,61,34,ON
36,30,51,68,ON
12,34,34,108,OFF
65,3,60,19,OFF
78,11,26,22,OFF
11,18,45,29,ON
38,31,49,107,OFF
