Soil Moisture,Temperature, Soil Humidity,Time
36,41,47,45
87,31,62,2
58,42,24,15
4,19,45,48
12,9,67,14
19,18,34,70
31,24,47,109
75,34,33,78
32,1,66,22
41,21,42,25
77,38,42,73
38,41,37,106
32,5,33,76
90,27,67,106
6,28,20,33
88,5,59,83
40,6,24,72
49,27,64,26
11,44,24,109
75,21,69,35
88,41,45,37
74,26,33,26
60,22,28,66
29,23,36,56
3,16,39,75
35,35,68,37
42,35,43,109
62,26,38,108
56,9,28,6
54,25,29,80
4,4,66,93
87,36,47,61
13,37,28,89
18,31,40,35
52,20,28,42
58,11,52,6
3,17,37,79
61,19,48,25
65,43,48,87
62,7,29,50
70,14,53,49
41,23,21,35
37,29,32,65
89,16,27,7
76,40,48,46
56,43,47,34
13,40,56,39
34,43,69,108
59,42,40,20
12,43,22,53
60,15,63,67
61,24,49,50
44,6,40,40
85,43,26,100
8,19,70,97
76,45,27,59
63,27,62,24
79,44,68,9
32,37,32,75
8,2,32,37
50,17,53,53
29,16,28,103
90,3,51,27
82,39,26,71
3,13,44,20
88,24,29,9
83,8,69,67
85,8,51,74
69,33,30,5
78,27,37,91
74,5,51,46
33,44,30,27
67,7,59,48
85,24,38,56
87,10,31,20
90,12,48,16
33,29,66,69
13,42,63,108
60,16,24,108
54,18,30,6
18,36,64,11
83,25,50,55
83,35,50,93
18,11,43,10
80,36,68,108
56,11,37,61
80,44,59,71
80,34,55,41
76,40,38,85
4,11,54,36
50,40,57,71
73,42,36,104
49,13,21,63
85,23,29,54
10,20,48,38
86,10,57,109
67,6,51,83
49,8,43,44
19,24,49,50
27,32,30,78
59,40,54,24
54,0,39,87
1,16,63,31
74,0,58,108
56,15,33,61
63,14,25,36
22,38,30,37
87,28,27,109
25,24,52,36
16,3,62,82
64,36,63,13
73,40,52,7
39,0,62,9
89,22,30,105
50,24,46,50
43,43,35,9
18,17,47,33
22,39,56,47
59,26,24,87
7,26,57,101
82,25,66,60
20,43,64,25
2,20,70,68
63,22,40,34
90,10,67,60
1,40,45,38
41,34,40,16
90,7,62,30
59,2,24,1
9,6,34,56
25,28,44,10
1,41,34,96
6,17,21,11
60,38,35,32
59,44,67,70
51,29,35,106
21,21,23,19
62,22,61,16
2,28,25,22
55,19,64,52
55,32,62,58
12,7,60,40
14,14,47,29
17,35,46,69
1,30,33,2
64,21,31,85
81,24,35,39
43,42,30,1
67,9,45,17
85,21,28,18
26,23,24,73
81,18,50,101
69,42,65,96
2,12,43,88
87,16,54,2
10,15,60,65
57,33,66,41
37,30,65,23
85,20,68,59
83,17,65,92
84,27,62,107
5,30,63,31
17,6,28,25
4,3,54,36
74,12,45,11
21,11,53,43
32,10,20,108
50,0,22,107
16,13,33,95
82,28,23,86
70,3,29,52
55,20,65,85
8,4,32,87
18,25,29,57
73,0,63,32
57,34,39,23
84,2,69,77
23,38,24,55
7,36,25,32
77,8,47,27
42,36,63,64
56,9,47,26
80,12,35,25
90,10,67,99
87,22,47,37
57,3,34,56
51,25,22,30
56,17,48,91
87,17,30,25
71,24,51,19
21,13,39,1
88,6,25,42
32,15,46,6
24,16,48,39
39,42,62,102
20,21,68,25
53,31,68,71
73,44,32,94
39,22,26,48
87,45,21,56
22,42,34,42
69,0,52,24
54,36,36,84
88,21,70,40
70,41,31,19
73,7,33,24
21,14,68,0
34,18,29,55
39,44,26,4
38,20,56,49
58,42,34,74
13,43,61,73
74,30,25,26
79,39,63,33
1,39,62,55
81,41,57,5
88,36,57,68
53,39,20,79
13,3,63,0
34,37,69,83
53,17,20,29
57,17,44,86
30,26,47,73
89,7,67,47
29,6,43,12
81,25,44,89
71,14,21,24
79,12,40,88
31,25,51,71
47,34,60,38
33,24,58,12
11,43,38,15
11,14,31,56
22,24,20,93
33,36,38,13
60,11,60,98
17,20,69,69
51,36,65,79
56,14,35,43
80,2,26,61
39,6,33,76
63,36,46,78
12,16,23,19
24,45,31,85
16,12,66,12
80,27,25,17
62,30,48,31
71,16,29,9
44,1,60,103
73,1,50,64
58,32,33,31
6,22,31,28
85,11,30,96
16,11,22,0
90,41,53,72
23,28,63,41
77,18,58,85
82,33,34,15
62,38,29,35
28,10,65,9
54,13,69,11
10,40,63,73
63,1,40,13
24,0,28,34
80,0,33,10
35,45,57,32
60,20,49,69
44,43,64,32
88,28,49,25
46,27,49,64
9,43,46,46
45,3,35,17
22,35,20,57
10,3,64,89
66,8,54,19
28,19,46,40
33,9,53,81
63,25,25,11
70,28,51,55
68,37,50,76
26,39,54,88
65,24,32,67
12,16,42,19
44,6,44,48
2,40,66,14
65,32,55,6
41,21,22,4
46,4,25,105
12,36,21,9
83,5,42,66
85,26,55,40
84,26,42,61
11,17,49,73
51,29,69,59
39,3,25,7
51,28,35,23
62,22,63,24
69,32,41,23
88,11,38,68
69,38,37,87
5,14,60,7
16,16,51,82
78,41,60,10
46,43,68,46
39,18,62,65
4,20,67,39
86,44,65,87
34,9,28,57
39,3,52,14
75,29,54,30
18,26,41,60
69,1,45,31
12,35,27,77
67,19,70,87
10,8,26,41
21,11,22,2
29,21,23,37
39,28,44,22
87,10,46,106
33,31,51,0
83,10,24,38
44,3,46,81
24,22,42,35
25,41,65,93
70,13,41,91
30,33,30,61
31,39,58,101
28,8,25,73
81,7,22,71
38,24,24,49
16,21,61,38
12,29,70,38
79,9,26,31
48,17,58,77
43,27,40,80
39,28,49,10
17,27,58,80
53,4,20,71
65,19,44,35
53,43,42,81
6,13,64,86
74,27,62,26
61,33,40,43
26,40,27,13
65,44,32,6
58,2,69,67
42,6,57,86
81,28,23,33
13,33,64,44
22,23,38,4
71,31,46,60
14,43,61,4
8,27,34,28
9,27,39,97
73,19,70,104
11,43,61,82
5,7,68,91
86,40,47,16
44,15,67,56
27,30,68,89
54,17,38,24
51,34,46,21
35,38,51,94
40,20,20,55
89,34,27,12
17,21,48,13
54,6,26,13
61,13,59,99
88,44,30,103
61,30,53,62
63,27,55,86
64,27,48,2
86,34,21,99
40,40,48,65
80,41,56,0
31,0,49,104
83,41,57,88
14,38,50,38
42,4,55,1
3,44,34,78
60,6,21,93
17,21,43,56
41,9,66,69
73,11,34,6
50,30,49,76
66,20,51,10
54,5,66,41
30,15,54,11
71,9,66,47
15,26,57,105
40,2,46,30
12,42,61,4
72,19,27,65
77,19,46,75
7,14,67,84
82,30,20,100
15,42,44,92
8,16,26,44
78,16,45,54
51,38,62,59
69,32,35,84
58,31,45,94
68,43,45,75
7,25,48,92
3,26,52,52
71,5,34,38
63,2,59,88
53,0,49,79
61,41,57,7
38,19,29,5
53,23,51,106
28,19,47,101
60,44,23,102
75,34,36,12
39,22,66,108
86,42,46,17
79,22,23,6
2,33,26,58
20,34,52,5
10,0,58,12
52,18,48,25
54,19,66,18
20,15,29,69
12,10,61,33
2,6,35,1
21,32,24,9
18,44,42,34
8,7,26,11
30,20,61,101
